time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.10459e-07	8.17775
1	2.10459e-07	4.78873e-07	8.17775
2	4.78873e-07	8.21201e-07	8.17778
3	8.21201e-07	1.2578e-06	8.17776
4	1.2578e-06	1.81462e-06	8.17775
5	1.81462e-06	2.52478e-06	27.5386
6	2.52478e-06	3.43049e-06	464.727
7	3.43049e-06	4.58561e-06	2756.88
8	4.58561e-06	6.05883e-06	6019.08
9	6.05883e-06	7.93773e-06	5174.06
10	7.93773e-06	1.0334e-05	2199.05
11	1.0334e-05	1.33902e-05	763.677
12	1.33902e-05	1.7288e-05	401.647
13	1.7288e-05	2.2259e-05	446.363
14	2.2259e-05	2.8599e-05	899.488
15	2.8599e-05	3.66849e-05	2181.09
16	3.66849e-05	4.69974e-05	4748.98
17	4.69974e-05	6.01497e-05	8685.43
18	6.01497e-05	7.69238e-05	13179
19	7.69238e-05	9.8317e-05	15479.4
20	9.8317e-05	0.000125601	14166.2
21	0.000125601	0.000160399	11731.8
22	0.000160399	0.000204779	7894.99
23	0.000204779	0.00026138	7894.99
24	0.00026138	0.000333568	7894.99
25	0.000333568	0.000425633	7894.99
26	0.000425633	0.000543052	7894.99
27	0.000543052	0.000692804	2366.85
28	0.000692804	0.000883794	2366.85
29	0.000883794	0.00112738	2366.85
30	0.00112738	0.00143804	2366.85
31	0.00143804	inf	2366.85
